----------------------------------------------------------------------
My Process Log
Log file created at : Sun Jun  2 10:29:53 2024
----------------------------------------------------------------------
CONTENTS OF LOG FILE
----------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'} 
{'name': 'msedgewebview2.exe', 'pid': 4796, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 4812, 'username': None} 
{'name': 'svchost.exe', 'pid': 4832, 'username': None} 
{'name': 'svchost.exe', 'pid': 4884, 'username': None} 
{'name': 'spoolsv.exe', 'pid': 4932, 'username': None} 
{'name': 'svchost.exe', 'pid': 4976, 'username': None} 
{'name': 'unsecapp.exe', 'pid': 5060, 'username': None} 
{'name': 'svchost.exe', 'pid': 5108, 'username': None} 
{'name': 'svchost.exe', 'pid': 5156, 'username': None} 
{'name': 'OfficeClickToRun.exe', 'pid': 5164, 'username': None} 
{'name': 'svchost.exe', 'pid': 5184, 'username': None} 
{'name': 'WmiPrvSE.exe', 'pid': 5208, 'username': None} 
{'name': 'esif_uf.exe', 'pid': 5224, 'username': None} 
{'name': 'nssm.exe', 'pid': 5260, 'username': None} 
{'name': 'svchost.exe', 'pid': 5324, 'username': None} 
{'name': 'HPPrintScanDoctorService.exe', 'pid': 5360, 'username': None} 
{'name': 'ibtsiva.exe', 'pid': 5368, 'username': None} 
{'name': 'OneApp.IGCC.WinService.exe', 'pid': 5388, 'username': None} 
{'name': 'IntelAudioService.exe', 'pid': 5468, 'username': None} 
{'name': 'svchost.exe', 'pid': 5512, 'username': None} 
{'name': 'svchost.exe', 'pid': 5668, 'username': None} 
{'name': 'LMS.exe', 'pid': 5780, 'username': None} 
{'name': 'MpDefenderCoreService.exe', 'pid': 5804, 'username': None} 
{'name': 'expressvpnd.exe', 'pid': 5816, 'username': None} 
{'name': 'mfemms.exe', 'pid': 5824, 'username': None} 
{'name': 'ModuleCoreService.exe', 'pid': 5912, 'username': None} 
{'name': 'svchost.exe', 'pid': 5928, 'username': None} 
{'name': 'svchost.exe', 'pid': 5952, 'username': None} 
{'name': 'conhost.exe', 'pid': 5972, 'username': None} 
{'name': 'mysqld.exe', 'pid': 5984, 'username': None} 
{'name': 'PEFService.exe', 'pid': 6024, 'username': None} 
{'name': 'svchost.exe', 'pid': 6048, 'username': None} 
{'name': 'RstMwService.exe', 'pid': 6056, 'username': None} 
{'name': 'dllhost.exe', 'pid': 6068, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'RtkAudUService64.exe', 'pid': 6128, 'username': None} 
{'name': 'svchost.exe', 'pid': 6140, 'username': None} 
{'name': 'svchost.exe', 'pid': 6184, 'username': None} 
{'name': 'MsMpEng.exe', 'pid': 6228, 'username': None} 
{'name': 'svchost.exe', 'pid': 6252, 'username': None} 
{'name': 'XtuService.exe', 'pid': 6272, 'username': None} 
{'name': 'jhi_service.exe', 'pid': 6596, 'username': None} 
{'name': 'wlanext.exe', 'pid': 6676, 'username': None} 
{'name': 'conhost.exe', 'pid': 6724, 'username': None} 
{'name': 'svchost.exe', 'pid': 7008, 'username': None} 
{'name': 'mysqld.exe', 'pid': 7096, 'username': None} 
{'name': 'conhost.exe', 'pid': 7156, 'username': None} 
{'name': 'Code.exe', 'pid': 7352, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'MMSSHOST.exe', 'pid': 7544, 'username': None} 
{'name': 'svchost.exe', 'pid': 7688, 'username': None} 
{'name': 'msedgewebview2.exe', 'pid': 7696, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'mfevtps.exe', 'pid': 7720, 'username': None} 
{'name': 'ProtectedModuleHost.exe', 'pid': 7812, 'username': None} 
{'name': 'svchost.exe', 'pid': 8008, 'username': None} 
{'name': 'svchost.exe', 'pid': 8312, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'AggregatorHost.exe', 'pid': 8328, 'username': None} 
{'name': 'EzTiltPenAgent.exe', 'pid': 8356, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 8476, 'username': None} 
{'name': 'Widgets.exe', 'pid': 8560, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'McVulCtr.exe', 'pid': 8672, 'username': None} 
{'name': 'svchost.exe', 'pid': 8716, 'username': None} 
{'name': 'Code.exe', 'pid': 8752, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 8928, 'username': None} 
{'name': 'svchost.exe', 'pid': 8932, 'username': None} 
{'name': 'ModuleCoreService.exe', 'pid': 9112, 'username': None} 
{'name': 'conhost.exe', 'pid': 9128, 'username': None} 
{'name': 'svchost.exe', 'pid': 9136, 'username': None} 
{'name': 'ApplicationFrameHost.exe', 'pid': 9196, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'chrome.exe', 'pid': 9252, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 9332, 'username': None} 
{'name': 'SocketHeciServer.exe', 'pid': 9360, 'username': None} 
{'name': 'svchost.exe', 'pid': 9608, 'username': None} 
