----------------------------------------------------------------------
My Process Log
Log file created at : Sun Jun  2 10:27:43 2024
----------------------------------------------------------------------
CONTENTS OF LOG FILE
----------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 4796} 
{'name': 'svchost.exe', 'username': None, 'pid': 4812} 
{'name': 'svchost.exe', 'username': None, 'pid': 4832} 
{'name': 'svchost.exe', 'username': None, 'pid': 4884} 
{'name': 'spoolsv.exe', 'username': None, 'pid': 4932} 
{'name': 'svchost.exe', 'username': None, 'pid': 4976} 
{'name': 'unsecapp.exe', 'username': None, 'pid': 5060} 
{'name': 'svchost.exe', 'username': None, 'pid': 5108} 
{'name': 'svchost.exe', 'username': None, 'pid': 5156} 
{'name': 'OfficeClickToRun.exe', 'username': None, 'pid': 5164} 
{'name': 'svchost.exe', 'username': None, 'pid': 5184} 
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 5208} 
{'name': 'esif_uf.exe', 'username': None, 'pid': 5224} 
{'name': 'nssm.exe', 'username': None, 'pid': 5260} 
{'name': 'svchost.exe', 'username': None, 'pid': 5324} 
{'name': 'HPPrintScanDoctorService.exe', 'username': None, 'pid': 5360} 
{'name': 'ibtsiva.exe', 'username': None, 'pid': 5368} 
{'name': 'OneApp.IGCC.WinService.exe', 'username': None, 'pid': 5388} 
{'name': 'IntelAudioService.exe', 'username': None, 'pid': 5468} 
{'name': 'svchost.exe', 'username': None, 'pid': 5512} 
{'name': 'svchost.exe', 'username': None, 'pid': 5668} 
{'name': 'LMS.exe', 'username': None, 'pid': 5780} 
{'name': 'MpDefenderCoreService.exe', 'username': None, 'pid': 5804} 
{'name': 'expressvpnd.exe', 'username': None, 'pid': 5816} 
{'name': 'mfemms.exe', 'username': None, 'pid': 5824} 
{'name': 'ModuleCoreService.exe', 'username': None, 'pid': 5912} 
{'name': 'svchost.exe', 'username': None, 'pid': 5928} 
{'name': 'svchost.exe', 'username': None, 'pid': 5952} 
{'name': 'conhost.exe', 'username': None, 'pid': 5972} 
{'name': 'mysqld.exe', 'username': None, 'pid': 5984} 
{'name': 'PEFService.exe', 'username': None, 'pid': 6024} 
{'name': 'svchost.exe', 'username': None, 'pid': 6048} 
{'name': 'RstMwService.exe', 'username': None, 'pid': 6056} 
{'name': 'dllhost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 6068} 
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 6128} 
{'name': 'svchost.exe', 'username': None, 'pid': 6140} 
{'name': 'svchost.exe', 'username': None, 'pid': 6184} 
