----------------------------------------------------------------------
My Process Log
Log file created at : Sun Jun  2 10:31:53 2024
----------------------------------------------------------------------
CONTENTS OF LOG FILE
----------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'} 
{'pid': 4812, 'name': 'svchost.exe', 'username': None} 
{'pid': 4832, 'name': 'svchost.exe', 'username': None} 
{'pid': 4884, 'name': 'svchost.exe', 'username': None} 
{'pid': 4932, 'name': 'spoolsv.exe', 'username': None} 
{'pid': 4976, 'name': 'svchost.exe', 'username': None} 
{'pid': 5060, 'name': 'unsecapp.exe', 'username': None} 
{'pid': 5108, 'name': 'svchost.exe', 'username': None} 
{'pid': 5156, 'name': 'svchost.exe', 'username': None} 
{'pid': 5164, 'name': 'OfficeClickToRun.exe', 'username': None} 
{'pid': 5184, 'name': 'svchost.exe', 'username': None} 
{'pid': 5208, 'name': 'WmiPrvSE.exe', 'username': None} 
{'pid': 5224, 'name': 'esif_uf.exe', 'username': None} 
{'pid': 5260, 'name': 'nssm.exe', 'username': None} 
{'pid': 5324, 'name': 'svchost.exe', 'username': None} 
{'pid': 5360, 'name': 'HPPrintScanDoctorService.exe', 'username': None} 
{'pid': 5368, 'name': 'ibtsiva.exe', 'username': None} 
{'pid': 5388, 'name': 'OneApp.IGCC.WinService.exe', 'username': None} 
{'pid': 5468, 'name': 'IntelAudioService.exe', 'username': None} 
{'pid': 5512, 'name': 'svchost.exe', 'username': None} 
{'pid': 5668, 'name': 'svchost.exe', 'username': None} 
{'pid': 5780, 'name': 'LMS.exe', 'username': None} 
{'pid': 5804, 'name': 'MpDefenderCoreService.exe', 'username': None} 
{'pid': 5816, 'name': 'expressvpnd.exe', 'username': None} 
{'pid': 5824, 'name': 'mfemms.exe', 'username': None} 
{'pid': 5912, 'name': 'ModuleCoreService.exe', 'username': None} 
{'pid': 5928, 'name': 'svchost.exe', 'username': None} 
{'pid': 5952, 'name': 'svchost.exe', 'username': None} 
{'pid': 5972, 'name': 'conhost.exe', 'username': None} 
{'pid': 5984, 'name': 'mysqld.exe', 'username': None} 
{'pid': 6024, 'name': 'PEFService.exe', 'username': None} 
{'pid': 6048, 'name': 'svchost.exe', 'username': None} 
{'pid': 6056, 'name': 'RstMwService.exe', 'username': None} 
{'pid': 6068, 'name': 'dllhost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 6128, 'name': 'RtkAudUService64.exe', 'username': None} 
{'pid': 6140, 'name': 'svchost.exe', 'username': None} 
{'pid': 6184, 'name': 'svchost.exe', 'username': None} 
{'pid': 6228, 'name': 'MsMpEng.exe', 'username': None} 
{'pid': 6252, 'name': 'svchost.exe', 'username': None} 
{'pid': 6272, 'name': 'XtuService.exe', 'username': None} 
{'pid': 6596, 'name': 'jhi_service.exe', 'username': None} 
{'pid': 6676, 'name': 'wlanext.exe', 'username': None} 
{'pid': 6724, 'name': 'conhost.exe', 'username': None} 
{'pid': 7008, 'name': 'svchost.exe', 'username': None} 
{'pid': 7096, 'name': 'mysqld.exe', 'username': None} 
{'pid': 7156, 'name': 'conhost.exe', 'username': None} 
{'pid': 7352, 'name': 'Code.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 7544, 'name': 'MMSSHOST.exe', 'username': None} 
{'pid': 7688, 'name': 'svchost.exe', 'username': None} 
{'pid': 7696, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 7720, 'name': 'mfevtps.exe', 'username': None} 
{'pid': 7812, 'name': 'ProtectedModuleHost.exe', 'username': None} 
{'pid': 8008, 'name': 'svchost.exe', 'username': None} 
{'pid': 8312, 'name': 'svchost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 8328, 'name': 'AggregatorHost.exe', 'username': None} 
{'pid': 8356, 'name': 'EzTiltPenAgent.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 8476, 'name': 'svchost.exe', 'username': None} 
{'pid': 8560, 'name': 'Widgets.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 8672, 'name': 'McVulCtr.exe', 'username': None} 
{'pid': 8716, 'name': 'svchost.exe', 'username': None} 
{'pid': 8752, 'name': 'Code.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 8928, 'name': 'svchost.exe', 'username': None} 
{'pid': 8932, 'name': 'svchost.exe', 'username': None} 
{'pid': 9112, 'name': 'ModuleCoreService.exe', 'username': None} 
{'pid': 9128, 'name': 'conhost.exe', 'username': None} 
{'pid': 9136, 'name': 'svchost.exe', 'username': None} 
{'pid': 9196, 'name': 'ApplicationFrameHost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 9252, 'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 9332, 'name': 'svchost.exe', 'username': None} 
{'pid': 9360, 'name': 'SocketHeciServer.exe', 'username': None} 
{'pid': 9608, 'name': 'svchost.exe', 'username': None} 
{'pid': 9720, 'name': 'SystemSettingsBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 9756, 'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 9832, 'name': 'SearchIndexer.exe', 'username': None} 
{'pid': 9900, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 9904, 'name': 'ShellExperienceHost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 9940, 'name': 'McUICnt.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 10028, 'name': 'svchost.exe', 'username': None} 
{'pid': 10040, 'name': 'mcafee-security.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 10132, 'name': 'svchost.exe', 'username': None} 
{'pid': 10224, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 10276, 'name': 'BridgeCommunication.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 10304, 'name': 'cmd.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 10744, 'name': 'svchost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 10804, 'name': 'McCSPServiceHost.exe', 'username': None} 
{'pid': 10812, 'name': 'mcafee-security-ft.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 11092, 'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 11320, 'name': 'svchost.exe', 'username': None} 
{'pid': 11396, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 11716, 'name': 'dllhost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 11760, 'name': 'TextInputHost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 11840, 'name': 'sihost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 12352, 'name': 'servicehost.exe', 'username': None} 
{'pid': 12376, 'name': 'mcapexe.exe', 'username': None} 
{'pid': 12480, 'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 12816, 'name': 'dllhost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 13264, 'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 13556, 'name': 'svchost.exe', 'username': None} 
{'pid': 13640, 'name': 'svchost.exe', 'username': None} 
{'pid': 13968, 'name': 'fontdrvhost.exe', 'username': None} 
{'pid': 13976, 'name': 'NisSrv.exe', 'username': None} 
{'pid': 13992, 'name': 'DesktopExtension.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 14064, 'name': 'HPCommRecovery.exe', 'username': None} 
{'pid': 14140, 'name': 'SynTPEnh.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 14272, 'name': 'svchost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 14360, 'name': 'QcShm.exe', 'username': None} 
{'pid': 14436, 'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 14816, 'name': 'MfeBrowserHost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 14860, 'name': 'SecurityHealthService.exe', 'username': None} 
{'pid': 15116, 'name': 'svchost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 15404, 'name': 'TabTip.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 15460, 'name': 'explorer.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 15628, 'name': 'msteams.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 15652, 'name': 'ModuleCoreService.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 15712, 'name': 'HPAudioSwitch.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 15848, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 16056, 'name': 'SecurityHealthSystray.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 16132, 'name': 'svchost.exe', 'username': None} 
{'pid': 16216, 'name': 'Zoom.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 16380, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 16412, 'name': 'Code.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 16436, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 16444, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 16652, 'name': 'cmd.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 16768, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 16804, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 17068, 'name': 'backgroundTaskHost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 17156, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 17200, 'name': 'uihost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 17288, 'name': 'dwm.exe', 'username': None} 
{'pid': 17440, 'name': 'winlogon.exe', 'username': None} 
{'pid': 17516, 'name': 'backgroundTaskHost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 17540, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 17568, 'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 17644, 'name': 'csrss.exe', 'username': None} 
{'pid': 17660, 'name': 'svchost.exe', 'username': None} 
{'pid': 17708, 'name': 'XboxGameBarWidgets.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 17744, 'name': 'svchost.exe', 'username': None} 
{'pid': 18016, 'name': 'ctfmon.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 18020, 'name': 'ExpressVPNNotificationService.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 18024, 'name': 'conhost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 18108, 'name': 'svchost.exe', 'username': None} 
{'pid': 18396, 'name': 'svchost.exe', 'username': None} 
{'pid': 18444, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 18452, 'name': 'StartMenuExperienceHost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 18520, 'name': 'cmd.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 18528, 'name': 'MfeAVSvc.exe', 'username': None} 
{'pid': 18536, 'name': 'aesm_service.exe', 'username': None} 
{'pid': 18680, 'name': 'svchost.exe', 'username': None} 
{'pid': 18780, 'name': 'cmd.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 18896, 'name': 'dasHost.exe', 'username': None} 
{'pid': 19156, 'name': 'UserOOBEBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 19208, 'name': 'SearchHost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
